miRNA,Gene,Disease,Score-m-g,Score-g-d
hsa-miR-548t-3p,MET,Liver carcinoma,84.0628231554,100.0
hsa-miR-5688,MET,Liver carcinoma,88.6935663908639,100.0
hsa-miR-5696,MET,Liver carcinoma,84.1683632125691,100.0
hsa-miR-589-3p,MET,Liver carcinoma,90.20408,100.0
hsa-miR-6499-3p,MET,Liver carcinoma,84.5370346754732,100.0
hsa-miR-6747-5p,MET,Liver carcinoma,86.7586,100.0
hsa-miR-6838-3p,MET,Liver carcinoma,87.2088912358,100.0
hsa-miR-6882-5p,MET,Liver carcinoma,91.723778284,100.0
hsa-miR-7112-3p,MET,Liver carcinoma,81.0746619453,100.0
hsa-miR-8080,MET,Liver carcinoma,84.206,100.0
hsa-miR-8485,MET,Liver carcinoma,82.0167615559,100.0
hsa-miR-1-3p,PAX3,Alveolar rhabdomyosarcoma,96.2182662967,100.0
hsa-miR-1-3p,PAX3,Waardenburg Syndrome Type 1,96.2182662967,100.0
hsa-miR-12123,PAX3,Alveolar rhabdomyosarcoma,81.5337,100.0
hsa-miR-12123,PAX3,Waardenburg Syndrome Type 1,81.5337,100.0
hsa-miR-199a-5p,PAX3,Alveolar rhabdomyosarcoma,82.5719,100.0
hsa-miR-199a-5p,PAX3,Waardenburg Syndrome Type 1,82.5719,100.0
hsa-miR-199b-5p,PAX3,Alveolar rhabdomyosarcoma,82.5719,100.0
hsa-miR-199b-5p,PAX3,Waardenburg Syndrome Type 1,82.5719,100.0
hsa-miR-206,PAX3,Alveolar rhabdomyosarcoma,96.2182662967,100.0
hsa-miR-206,PAX3,Waardenburg Syndrome Type 1,96.2182662967,100.0
hsa-miR-25-3p,PAX3,Alveolar rhabdomyosarcoma,92.39034,100.0
hsa-miR-25-3p,PAX3,Waardenburg Syndrome Type 1,92.39034,100.0
hsa-miR-30a-5p,PAX3,Alveolar rhabdomyosarcoma,83.0569297504,100.0
hsa-miR-30a-5p,PAX3,Waardenburg Syndrome Type 1,83.0569297504,100.0
hsa-miR-30b-5p,PAX3,Alveolar rhabdomyosarcoma,83.0569297504,100.0
hsa-miR-30b-5p,PAX3,Waardenburg Syndrome Type 1,83.0569297504,100.0
hsa-miR-30c-5p,PAX3,Alveolar rhabdomyosarcoma,83.0569297504,100.0
hsa-miR-30c-5p,PAX3,Waardenburg Syndrome Type 1,83.0569297504,100.0
hsa-miR-30d-5p,PAX3,Alveolar rhabdomyosarcoma,83.0569297504,100.0
hsa-miR-30d-5p,PAX3,Waardenburg Syndrome Type 1,83.0569297504,100.0
hsa-miR-30e-5p,PAX3,Alveolar rhabdomyosarcoma,83.0569297504,100.0
hsa-miR-30e-5p,PAX3,Waardenburg Syndrome Type 1,83.0569297504,100.0
hsa-miR-3173-5p,PAX3,Alveolar rhabdomyosarcoma,84.4434,100.0
hsa-miR-3173-5p,PAX3,Waardenburg Syndrome Type 1,84.4434,100.0
hsa-miR-32-5p,PAX3,Alveolar rhabdomyosarcoma,94.04288,100.0
hsa-miR-32-5p,PAX3,Waardenburg Syndrome Type 1,94.04288,100.0
hsa-miR-363-3p,PAX3,Alveolar rhabdomyosarcoma,92.39034,100.0
hsa-miR-363-3p,PAX3,Waardenburg Syndrome Type 1,92.39034,100.0
hsa-miR-367-3p,PAX3,Alveolar rhabdomyosarcoma,92.39034,100.0
hsa-miR-367-3p,PAX3,Waardenburg Syndrome Type 1,92.39034,100.0
hsa-miR-376a-3p,PAX3,Alveolar rhabdomyosarcoma,82.2768,100.0
hsa-miR-376a-3p,PAX3,Waardenburg Syndrome Type 1,82.2768,100.0
hsa-miR-376b-3p,PAX3,Alveolar rhabdomyosarcoma,82.2768,100.0
hsa-miR-376b-3p,PAX3,Waardenburg Syndrome Type 1,82.2768,100.0
hsa-miR-379-3p,PAX3,Alveolar rhabdomyosarcoma,84.538898096,100.0
hsa-miR-379-3p,PAX3,Waardenburg Syndrome Type 1,84.538898096,100.0
hsa-miR-411-3p,PAX3,Alveolar rhabdomyosarcoma,84.538898096,100.0
hsa-miR-411-3p,PAX3,Waardenburg Syndrome Type 1,84.538898096,100.0
hsa-miR-4328,PAX3,Alveolar rhabdomyosarcoma,92.7803230745143,100.0
hsa-miR-4328,PAX3,Waardenburg Syndrome Type 1,92.7803230745143,100.0
hsa-miR-4468,PAX3,Alveolar rhabdomyosarcoma,82.7051495544,100.0
hsa-miR-4468,PAX3,Waardenburg Syndrome Type 1,82.7051495544,100.0
hsa-miR-4495,PAX3,Alveolar rhabdomyosarcoma,88.052821833,100.0
hsa-miR-4495,PAX3,Waardenburg Syndrome Type 1,88.052821833,100.0
hsa-miR-4528,PAX3,Alveolar rhabdomyosarcoma,91.78608,100.0
hsa-miR-4528,PAX3,Waardenburg Syndrome Type 1,91.78608,100.0
hsa-miR-548e-5p,PAX3,Alveolar rhabdomyosarcoma,88.5979503416798,100.0
hsa-miR-548e-5p,PAX3,Waardenburg Syndrome Type 1,88.5979503416798,100.0
hsa-miR-549a-3p,PAX3,Alveolar rhabdomyosarcoma,83.628,100.0
hsa-miR-549a-3p,PAX3,Waardenburg Syndrome Type 1,83.628,100.0
hsa-miR-568,PAX3,Alveolar rhabdomyosarcoma,92.25089,100.0
hsa-miR-568,PAX3,Waardenburg Syndrome Type 1,92.25089,100.0
hsa-miR-598-3p,PAX3,Alveolar rhabdomyosarcoma,80.5893,100.0
hsa-miR-598-3p,PAX3,Waardenburg Syndrome Type 1,80.5893,100.0
hsa-miR-613,PAX3,Alveolar rhabdomyosarcoma,94.8917591947,100.0
hsa-miR-613,PAX3,Waardenburg Syndrome Type 1,94.8917591947,100.0
hsa-miR-618,PAX3,Alveolar rhabdomyosarcoma,83.1124,100.0
hsa-miR-618,PAX3,Waardenburg Syndrome Type 1,83.1124,100.0
hsa-miR-664a-3p,PAX3,Alveolar rhabdomyosarcoma,92.96307,100.0
hsa-miR-664a-3p,PAX3,Waardenburg Syndrome Type 1,92.96307,100.0
hsa-miR-6728-5p,PAX3,Alveolar rhabdomyosarcoma,86.4226,100.0
hsa-miR-6728-5p,PAX3,Waardenburg Syndrome Type 1,86.4226,100.0
hsa-miR-6792-5p,PAX3,Alveolar rhabdomyosarcoma,81.345,100.0
hsa-miR-6792-5p,PAX3,Waardenburg Syndrome Type 1,81.345,100.0
hsa-miR-6799-3p,PAX3,Alveolar rhabdomyosarcoma,84.4434,100.0
hsa-miR-6799-3p,PAX3,Waardenburg Syndrome Type 1,84.4434,100.0
hsa-miR-7-1-3p,PAX3,Alveolar rhabdomyosarcoma,89.0997,100.0
hsa-miR-7-1-3p,PAX3,Waardenburg Syndrome Type 1,89.0997,100.0
hsa-miR-7-2-3p,PAX3,Alveolar rhabdomyosarcoma,89.0997,100.0
hsa-miR-7-2-3p,PAX3,Waardenburg Syndrome Type 1,89.0997,100.0
hsa-miR-7154-5p,PAX3,Alveolar rhabdomyosarcoma,80.2212,100.0
hsa-miR-7154-5p,PAX3,Waardenburg Syndrome Type 1,80.2212,100.0
hsa-miR-8485,PAX3,Alveolar rhabdomyosarcoma,86.5936683696636,100.0
hsa-miR-8485,PAX3,Waardenburg Syndrome Type 1,86.5936683696636,100.0
hsa-miR-92a-3p,PAX3,Alveolar rhabdomyosarcoma,94.04288,100.0
hsa-miR-92a-3p,PAX3,Waardenburg Syndrome Type 1,94.04288,100.0
hsa-miR-92b-3p,PAX3,Alveolar rhabdomyosarcoma,94.04288,100.0
hsa-miR-92b-3p,PAX3,Waardenburg Syndrome Type 1,94.04288,100.0
hsa-miR-12123,PAX3,Alveolar rhabdomyosarcoma,81.5337,100.0
hsa-miR-12123,PAX3,Waardenburg Syndrome Type 1,81.5337,100.0
hsa-miR-32-5p,PAX3,Alveolar rhabdomyosarcoma,82.4939,100.0
hsa-miR-32-5p,PAX3,Waardenburg Syndrome Type 1,82.4939,100.0
hsa-miR-376a-3p,PAX3,Alveolar rhabdomyosarcoma,82.2768,100.0
hsa-miR-376a-3p,PAX3,Waardenburg Syndrome Type 1,82.2768,100.0
hsa-miR-376b-3p,PAX3,Alveolar rhabdomyosarcoma,82.2768,100.0
hsa-miR-376b-3p,PAX3,Waardenburg Syndrome Type 1,82.2768,100.0
hsa-miR-379-3p,PAX3,Alveolar rhabdomyosarcoma,80.948794464,100.0
hsa-miR-379-3p,PAX3,Waardenburg Syndrome Type 1,80.948794464,100.0
hsa-miR-411-3p,PAX3,Alveolar rhabdomyosarcoma,80.948794464,100.0
hsa-miR-411-3p,PAX3,Waardenburg Syndrome Type 1,80.948794464,100.0
hsa-miR-4528,PAX3,Alveolar rhabdomyosarcoma,91.78608,100.0
hsa-miR-4528,PAX3,Waardenburg Syndrome Type 1,91.78608,100.0
hsa-miR-548e-5p,PAX3,Alveolar rhabdomyosarcoma,88.5979503416798,100.0
hsa-miR-548e-5p,PAX3,Waardenburg Syndrome Type 1,88.5979503416798,100.0
hsa-miR-549a-3p,PAX3,Alveolar rhabdomyosarcoma,83.628,100.0
hsa-miR-549a-3p,PAX3,Waardenburg Syndrome Type 1,83.628,100.0
hsa-miR-568,PAX3,Alveolar rhabdomyosarcoma,81.8715,100.0
hsa-miR-568,PAX3,Waardenburg Syndrome Type 1,81.8715,100.0
hsa-miR-618,PAX3,Alveolar rhabdomyosarcoma,83.1124,100.0
hsa-miR-618,PAX3,Waardenburg Syndrome Type 1,83.1124,100.0
hsa-miR-664a-3p,PAX3,Alveolar rhabdomyosarcoma,92.96307,100.0
hsa-miR-664a-3p,PAX3,Waardenburg Syndrome Type 1,92.96307,100.0
hsa-miR-6728-5p,PAX3,Alveolar rhabdomyosarcoma,86.4226,100.0
hsa-miR-6728-5p,PAX3,Waardenburg Syndrome Type 1,86.4226,100.0
hsa-miR-6792-5p,PAX3,Alveolar rhabdomyosarcoma,81.345,100.0
hsa-miR-6792-5p,PAX3,Waardenburg Syndrome Type 1,81.345,100.0
hsa-miR-7154-5p,PAX3,Alveolar rhabdomyosarcoma,80.2212,100.0
hsa-miR-7154-5p,PAX3,Waardenburg Syndrome Type 1,80.2212,100.0
hsa-miR-8485,PAX3,Alveolar rhabdomyosarcoma,86.5936683696636,100.0
hsa-miR-8485,PAX3,Waardenburg Syndrome Type 1,86.5936683696636,100.0
hsa-miR-92a-3p,PAX3,Alveolar rhabdomyosarcoma,82.4939,100.0
hsa-miR-92a-3p,PAX3,Waardenburg Syndrome Type 1,82.4939,100.0
hsa-miR-92b-3p,PAX3,Alveolar rhabdomyosarcoma,82.4939,100.0
hsa-miR-92b-3p,PAX3,Waardenburg Syndrome Type 1,82.4939,100.0
hsa-miR-12123,PAX3,Alveolar rhabdomyosarcoma,81.5414,100.0
hsa-miR-12123,PAX3,Waardenburg Syndrome Type 1,81.5414,100.0
hsa-miR-32-5p,PAX3,Alveolar rhabdomyosarcoma,82.5022,100.0
hsa-miR-32-5p,PAX3,Waardenburg Syndrome Type 1,82.5022,100.0
hsa-miR-376a-3p,PAX3,Alveolar rhabdomyosarcoma,82.2859,100.0
hsa-miR-376a-3p,PAX3,Waardenburg Syndrome Type 1,82.2859,100.0
hsa-miR-376b-3p,PAX3,Alveolar rhabdomyosarcoma,82.2859,100.0
hsa-miR-376b-3p,PAX3,Waardenburg Syndrome Type 1,82.2859,100.0
hsa-miR-379-3p,PAX3,Alveolar rhabdomyosarcoma,80.9718151033,100.0
hsa-miR-379-3p,PAX3,Waardenburg Syndrome Type 1,80.9718151033,100.0
hsa-miR-411-3p,PAX3,Alveolar rhabdomyosarcoma,80.9718151033,100.0
hsa-miR-411-3p,PAX3,Waardenburg Syndrome Type 1,80.9718151033,100.0
hsa-miR-4528,PAX3,Alveolar rhabdomyosarcoma,91.79026,100.0
hsa-miR-4528,PAX3,Waardenburg Syndrome Type 1,91.79026,100.0
hsa-miR-548e-5p,PAX3,Alveolar rhabdomyosarcoma,88.6079827799069,100.0
hsa-miR-548e-5p,PAX3,Waardenburg Syndrome Type 1,88.6079827799069,100.0
hsa-miR-549a-3p,PAX3,Alveolar rhabdomyosarcoma,83.6427,100.0
hsa-miR-549a-3p,PAX3,Waardenburg Syndrome Type 1,83.6427,100.0
hsa-miR-568,PAX3,Alveolar rhabdomyosarcoma,81.8802,100.0
hsa-miR-568,PAX3,Waardenburg Syndrome Type 1,81.8802,100.0
hsa-miR-618,PAX3,Alveolar rhabdomyosarcoma,83.1219,100.0
hsa-miR-618,PAX3,Waardenburg Syndrome Type 1,83.1219,100.0
hsa-miR-664a-3p,PAX3,Alveolar rhabdomyosarcoma,92.96682,100.0
hsa-miR-664a-3p,PAX3,Waardenburg Syndrome Type 1,92.96682,100.0
hsa-miR-6728-5p,PAX3,Alveolar rhabdomyosarcoma,86.4451,100.0
hsa-miR-6728-5p,PAX3,Waardenburg Syndrome Type 1,86.4451,100.0
hsa-miR-6792-5p,PAX3,Alveolar rhabdomyosarcoma,81.354,100.0
hsa-miR-6792-5p,PAX3,Waardenburg Syndrome Type 1,81.354,100.0
hsa-miR-7154-5p,PAX3,Alveolar rhabdomyosarcoma,80.2411,100.0
hsa-miR-7154-5p,PAX3,Waardenburg Syndrome Type 1,80.2411,100.0
hsa-miR-8485,PAX3,Alveolar rhabdomyosarcoma,86.6082373801828,100.0
hsa-miR-8485,PAX3,Waardenburg Syndrome Type 1,86.6082373801828,100.0
hsa-miR-92a-3p,PAX3,Alveolar rhabdomyosarcoma,82.5022,100.0
hsa-miR-92a-3p,PAX3,Waardenburg Syndrome Type 1,82.5022,100.0
hsa-miR-92b-3p,PAX3,Alveolar rhabdomyosarcoma,82.5022,100.0
hsa-miR-92b-3p,PAX3,Waardenburg Syndrome Type 1,82.5022,100.0
hsa-miR-12123,PAX3,Alveolar rhabdomyosarcoma,82.014,100.0
hsa-miR-12123,PAX3,Waardenburg Syndrome Type 1,82.014,100.0
hsa-miR-190a-5p,PAX3,Alveolar rhabdomyosarcoma,85.05610264,100.0
hsa-miR-190a-5p,PAX3,Waardenburg Syndrome Type 1,85.05610264,100.0
hsa-miR-190b-5p,PAX3,Alveolar rhabdomyosarcoma,85.05610264,100.0
hsa-miR-190b-5p,PAX3,Waardenburg Syndrome Type 1,85.05610264,100.0
hsa-miR-2052,PAX3,Alveolar rhabdomyosarcoma,80.081,100.0
hsa-miR-2052,PAX3,Waardenburg Syndrome Type 1,80.081,100.0
hsa-miR-32-5p,PAX3,Alveolar rhabdomyosarcoma,83.2133,100.0
hsa-miR-32-5p,PAX3,Waardenburg Syndrome Type 1,83.2133,100.0
hsa-miR-376a-3p,PAX3,Alveolar rhabdomyosarcoma,82.8398,100.0
hsa-miR-376a-3p,PAX3,Waardenburg Syndrome Type 1,82.8398,100.0
hsa-miR-376b-3p,PAX3,Alveolar rhabdomyosarcoma,82.8398,100.0
hsa-miR-376b-3p,PAX3,Waardenburg Syndrome Type 1,82.8398,100.0
hsa-miR-379-3p,PAX3,Alveolar rhabdomyosarcoma,82.9144491904,100.0
hsa-miR-379-3p,PAX3,Waardenburg Syndrome Type 1,82.9144491904,100.0
hsa-miR-383-3p,PAX3,Alveolar rhabdomyosarcoma,82.5603,100.0
hsa-miR-383-3p,PAX3,Waardenburg Syndrome Type 1,82.5603,100.0
hsa-miR-411-3p,PAX3,Alveolar rhabdomyosarcoma,82.9144491904,100.0
hsa-miR-411-3p,PAX3,Waardenburg Syndrome Type 1,82.9144491904,100.0
hsa-miR-4528,PAX3,Alveolar rhabdomyosarcoma,92.04524,100.0
hsa-miR-4528,PAX3,Waardenburg Syndrome Type 1,92.04524,100.0
hsa-miR-516a-3p,PAX3,Alveolar rhabdomyosarcoma,80.9874,100.0
hsa-miR-516a-3p,PAX3,Waardenburg Syndrome Type 1,80.9874,100.0
hsa-miR-516b-3p,PAX3,Alveolar rhabdomyosarcoma,80.9874,100.0
hsa-miR-516b-3p,PAX3,Waardenburg Syndrome Type 1,80.9874,100.0
hsa-miR-548e-5p,PAX3,Alveolar rhabdomyosarcoma,89.2205594535838,100.0
hsa-miR-548e-5p,PAX3,Waardenburg Syndrome Type 1,89.2205594535838,100.0
hsa-miR-549a-3p,PAX3,Alveolar rhabdomyosarcoma,84.5876,100.0
hsa-miR-549a-3p,PAX3,Waardenburg Syndrome Type 1,84.5876,100.0
hsa-miR-568,PAX3,Alveolar rhabdomyosarcoma,82.4146,100.0
hsa-miR-568,PAX3,Waardenburg Syndrome Type 1,82.4146,100.0
hsa-miR-618,PAX3,Alveolar rhabdomyosarcoma,83.7036,100.0
hsa-miR-618,PAX3,Waardenburg Syndrome Type 1,83.7036,100.0
hsa-miR-664a-3p,PAX3,Alveolar rhabdomyosarcoma,93.1951,100.0
hsa-miR-664a-3p,PAX3,Waardenburg Syndrome Type 1,93.1951,100.0
hsa-miR-6728-5p,PAX3,Alveolar rhabdomyosarcoma,90.28556,100.0
hsa-miR-6728-5p,PAX3,Waardenburg Syndrome Type 1,90.28556,100.0
hsa-miR-6792-5p,PAX3,Alveolar rhabdomyosarcoma,82.1392,100.0
hsa-miR-6792-5p,PAX3,Waardenburg Syndrome Type 1,82.1392,100.0
hsa-miR-7154-5p,PAX3,Alveolar rhabdomyosarcoma,81.5865,100.0
hsa-miR-7154-5p,PAX3,Waardenburg Syndrome Type 1,81.5865,100.0
hsa-miR-7162-5p,PAX3,Alveolar rhabdomyosarcoma,80.9874,100.0
hsa-miR-7162-5p,PAX3,Waardenburg Syndrome Type 1,80.9874,100.0
hsa-miR-8485,PAX3,Alveolar rhabdomyosarcoma,86.9296621171009,100.0
hsa-miR-8485,PAX3,Waardenburg Syndrome Type 1,86.9296621171009,100.0
hsa-miR-92a-3p,PAX3,Alveolar rhabdomyosarcoma,83.2133,100.0
hsa-miR-92a-3p,PAX3,Waardenburg Syndrome Type 1,83.2133,100.0
hsa-miR-92b-3p,PAX3,Alveolar rhabdomyosarcoma,83.2133,100.0
hsa-miR-92b-3p,PAX3,Waardenburg Syndrome Type 1,83.2133,100.0
hsa-miR-12123,PAX3,Alveolar rhabdomyosarcoma,81.9123,100.0
hsa-miR-12123,PAX3,Waardenburg Syndrome Type 1,81.9123,100.0
hsa-miR-190a-5p,PAX3,Alveolar rhabdomyosarcoma,84.387343248,100.0
hsa-miR-190a-5p,PAX3,Waardenburg Syndrome Type 1,84.387343248,100.0
hsa-miR-190b-5p,PAX3,Alveolar rhabdomyosarcoma,84.387343248,100.0
hsa-miR-190b-5p,PAX3,Waardenburg Syndrome Type 1,84.387343248,100.0
hsa-miR-32-5p,PAX3,Alveolar rhabdomyosarcoma,82.9983,100.0
hsa-miR-32-5p,PAX3,Waardenburg Syndrome Type 1,82.9983,100.0
hsa-miR-376a-3p,PAX3,Alveolar rhabdomyosarcoma,82.7206,100.0
hsa-miR-376a-3p,PAX3,Waardenburg Syndrome Type 1,82.7206,100.0
hsa-miR-376b-3p,PAX3,Alveolar rhabdomyosarcoma,82.7206,100.0
hsa-miR-376b-3p,PAX3,Waardenburg Syndrome Type 1,82.7206,100.0
hsa-miR-379-3p,PAX3,Alveolar rhabdomyosarcoma,82.30534923,100.0
hsa-miR-379-3p,PAX3,Waardenburg Syndrome Type 1,82.30534923,100.0
hsa-miR-383-3p,PAX3,Alveolar rhabdomyosarcoma,81.8487,100.0
hsa-miR-383-3p,PAX3,Waardenburg Syndrome Type 1,81.8487,100.0
hsa-miR-411-3p,PAX3,Alveolar rhabdomyosarcoma,82.30534923,100.0
hsa-miR-411-3p,PAX3,Waardenburg Syndrome Type 1,82.30534923,100.0
hsa-miR-4528,PAX3,Alveolar rhabdomyosarcoma,91.99062,100.0
hsa-miR-4528,PAX3,Waardenburg Syndrome Type 1,91.99062,100.0
hsa-miR-516a-3p,PAX3,Alveolar rhabdomyosarcoma,80.643,100.0
hsa-miR-516a-3p,PAX3,Waardenburg Syndrome Type 1,80.643,100.0
hsa-miR-516b-3p,PAX3,Alveolar rhabdomyosarcoma,80.643,100.0
hsa-miR-516b-3p,PAX3,Waardenburg Syndrome Type 1,80.643,100.0
hsa-miR-548e-5p,PAX3,Alveolar rhabdomyosarcoma,89.0892791930154,100.0
hsa-miR-548e-5p,PAX3,Waardenburg Syndrome Type 1,89.0892791930154,100.0
hsa-miR-549a-3p,PAX3,Alveolar rhabdomyosarcoma,84.3758,100.0
hsa-miR-549a-3p,PAX3,Waardenburg Syndrome Type 1,84.3758,100.0
hsa-miR-568,PAX3,Alveolar rhabdomyosarcoma,82.2996,100.0
hsa-miR-568,PAX3,Waardenburg Syndrome Type 1,82.2996,100.0
hsa-miR-618,PAX3,Alveolar rhabdomyosarcoma,83.5786,100.0
hsa-miR-618,PAX3,Waardenburg Syndrome Type 1,83.5786,100.0
hsa-miR-664a-3p,PAX3,Alveolar rhabdomyosarcoma,93.14625,100.0
hsa-miR-664a-3p,PAX3,Waardenburg Syndrome Type 1,93.14625,100.0
hsa-miR-6728-5p,PAX3,Alveolar rhabdomyosarcoma,89.8243,100.0
hsa-miR-6728-5p,PAX3,Waardenburg Syndrome Type 1,89.8243,100.0
hsa-miR-6792-5p,PAX3,Alveolar rhabdomyosarcoma,81.9209,100.0
hsa-miR-6792-5p,PAX3,Waardenburg Syndrome Type 1,81.9209,100.0
hsa-miR-7154-5p,PAX3,Alveolar rhabdomyosarcoma,81.2696,100.0
hsa-miR-7154-5p,PAX3,Waardenburg Syndrome Type 1,81.2696,100.0
hsa-miR-7162-5p,PAX3,Alveolar rhabdomyosarcoma,80.643,100.0
hsa-miR-7162-5p,PAX3,Waardenburg Syndrome Type 1,80.643,100.0
hsa-miR-8485,PAX3,Alveolar rhabdomyosarcoma,86.6102457538614,100.0
hsa-miR-8485,PAX3,Waardenburg Syndrome Type 1,86.6102457538614,100.0
hsa-miR-92a-3p,PAX3,Alveolar rhabdomyosarcoma,82.9983,100.0
hsa-miR-92a-3p,PAX3,Waardenburg Syndrome Type 1,82.9983,100.0
hsa-miR-92b-3p,PAX3,Alveolar rhabdomyosarcoma,82.9983,100.0
hsa-miR-92b-3p,PAX3,Waardenburg Syndrome Type 1,82.9983,100.0
hsa-miR-489-3p,PAX3,Alveolar rhabdomyosarcoma,90.76679,100.0
hsa-miR-489-3p,PAX3,Waardenburg Syndrome Type 1,90.76679,100.0
hsa-miR-548aw,PAX3,Alveolar rhabdomyosarcoma,88.8484,100.0
hsa-miR-548aw,PAX3,Waardenburg Syndrome Type 1,88.8484,100.0
hsa-miR-644a,PAX3,Alveolar rhabdomyosarcoma,85.6462,100.0
hsa-miR-644a,PAX3,Waardenburg Syndrome Type 1,85.6462,100.0
hsa-miR-5680,PAX3,Alveolar rhabdomyosarcoma,85.6199,100.0
hsa-miR-5680,PAX3,Waardenburg Syndrome Type 1,85.6199,100.0
hsa-miR-7110-3p,PAX3,Alveolar rhabdomyosarcoma,94.363744108793,100.0
hsa-miR-7110-3p,PAX3,Waardenburg Syndrome Type 1,94.363744108793,100.0
hsa-miR-8068,PAX3,Alveolar rhabdomyosarcoma,85.4349,100.0
hsa-miR-8068,PAX3,Waardenburg Syndrome Type 1,85.4349,100.0
hsa-miR-1-3p,PCARE,RETINITIS PIGMENTOSA 54,80.5102,90.0
hsa-miR-206,PCARE,RETINITIS PIGMENTOSA 54,80.5102,90.0
hsa-miR-4316,PCARE,RETINITIS PIGMENTOSA 54,84.531,90.0
hsa-miR-4695-5p,PCARE,RETINITIS PIGMENTOSA 54,80.2956546118,90.0
hsa-miR-627-3p,PCARE,RETINITIS PIGMENTOSA 54,80.4878,90.0
hsa-miR-1-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,87.9634,100.0
hsa-miR-10399-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,92.10418,100.0
hsa-miR-1244,PHF6,Borjeson-Forssman-Lehmann syndrome,93.9329461635,100.0
hsa-miR-128-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,98.5010263002184,100.0
hsa-miR-1283,PHF6,Borjeson-Forssman-Lehmann syndrome,82.979972386,100.0
hsa-miR-1290,PHF6,Borjeson-Forssman-Lehmann syndrome,80.6967,100.0
hsa-miR-1297,PHF6,Borjeson-Forssman-Lehmann syndrome,93.9540832996,100.0
hsa-miR-1323,PHF6,Borjeson-Forssman-Lehmann syndrome,80.1127546545,100.0
hsa-miR-139-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,80.0017386016,100.0
hsa-miR-143-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,93.4056,100.0
hsa-miR-153-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,95.7372322773474,100.0
hsa-miR-183-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,87.618,100.0
hsa-miR-186-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,84.5957409078916,100.0
hsa-miR-203a-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,93.03588875341,100.0
hsa-miR-203b-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,92.66028,100.0
hsa-miR-206,PHF6,Borjeson-Forssman-Lehmann syndrome,87.9634,100.0
hsa-miR-214-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,84.7859,100.0
hsa-miR-216a-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,98.5010263002184,100.0
hsa-miR-224-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,86.6005943776,100.0
hsa-miR-2682-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,86.9881,100.0
hsa-miR-26a-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,89.8754624664,100.0
hsa-miR-26b-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,89.8754624664,100.0
hsa-miR-3121-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,81.8029039384474,100.0
hsa-miR-3159,PHF6,Borjeson-Forssman-Lehmann syndrome,84.118,100.0
hsa-miR-34a-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,80.8301,100.0
hsa-miR-34b-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,88.3254,100.0
hsa-miR-3613-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,80.8845624857007,100.0
hsa-miR-3619-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,84.095,100.0
hsa-miR-3662,PHF6,Borjeson-Forssman-Lehmann syndrome,85.2359981744017,100.0
hsa-miR-3681-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,98.5010263002184,100.0
hsa-miR-3682-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,81.2163145486,100.0
hsa-miR-3682-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,94.1056002262244,100.0
hsa-miR-377-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,89.6486,100.0
hsa-miR-4255,PHF6,Borjeson-Forssman-Lehmann syndrome,83.431511596,100.0
hsa-miR-4302,PHF6,Borjeson-Forssman-Lehmann syndrome,84.8435037065,100.0
hsa-miR-4310,PHF6,Borjeson-Forssman-Lehmann syndrome,86.1895509412,100.0
hsa-miR-4325,PHF6,Borjeson-Forssman-Lehmann syndrome,81.847,100.0
hsa-miR-4465,PHF6,Borjeson-Forssman-Lehmann syndrome,87.5319560848,100.0
hsa-miR-4477b,PHF6,Borjeson-Forssman-Lehmann syndrome,83.4457100016,100.0
hsa-miR-4495,PHF6,Borjeson-Forssman-Lehmann syndrome,97.8584141610941,100.0
hsa-miR-449c-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,88.3254,100.0
hsa-miR-452-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,90.713390564,100.0
hsa-miR-455-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,87.4183,100.0
hsa-miR-4676-3p,PHF6,Borjeson-Forssman-Lehmann syndrome,90.037027149,100.0
hsa-miR-4708-5p,PHF6,Borjeson-Forssman-Lehmann syndrome,87.5715,100.0
hsa-miR-4729,PHF6,Borjeson-Forssman-Lehmann syndrome,84.2719,100.0
